121       0.527778,0.833333,0.833333,0.833333,1,1,1,0.6,0.666667,1,0.916667,0.833333,0.888889,0.833333,0.833333,0.5,0.666667,1,0.166667,0,0,0,0,0,0.583333,1,0.166667,0,0,0,0,0,0.5,1,0.194444,0,0,0,0,0,0.5,1,0.694444,0.694444,0.694444,0.333333,0,0,0.5,1,1,1,1,1,0.666667,0,0.277778,0.777778,0.583333,0.194444,0.333333,0.916667,1,0.366667,0,0,0,0,0,0.388889,1,0.7,0,0,0,0,0,0.0833333,1,0.8,0.222222,0.361111,0,0,0,0.0277778,1,0.8,0.833333,1,0.194444,0,0,0.222222,1,0.733333,0.555556,1,0.638889,0,0.0277778,0.666667,1,0.433333,0.111111,0.916667,1,0.944444,0.944444,1,0.805556,0.0333333,0,0.166667,0.722222,1,0.972222,0.666667,0.0833333,0,0,0,0,0,0,0,0,0
122       0,0.25,0.694444,0.944444,0.833333,0.555556,0.0833333,0,0.333333,1,1,1,0.972222,1,0.944444,0.2,0.861111,1,0.472222,0,0.111111,0.777778,1,0.633333,1,0.861111,0,0,0,0.222222,1,0.8,1,0.833333,0,0,0,0.166667,1,0.8,1,0.916667,0,0,0,0.166667,1,0.8,1,1,0,0,0,0.166667,1,0.8,1,1,0,0,0,0.0277778,1,0.9,0.916667,1,0,0,0,0,1,1,0.861111,1,0,0,0,0,1,1,0.833333,1,0,0,0,0,1,1,0.75,1,0.138889,0,0,0,0.944444,1,0.5,1,0.694444,0.0555556,0,0.472222,1,0.766667,0.111111,0.916667,1,1,0.888889,1,0.972222,0.666667,0,0.138889,0.722222,1,1,0.888889,0.777778,0.1,0,0,0,0,0,0.333333,0.0833333,0
123       0,0.194444,0.666667,0.833333,0.805556,0.416667,0,0,0.166667,0.972222,1,1,1,1,0.722222,0,0.555556,1,0.638889,0.222222,0.138889,0.805556,1,0.333333,0.75,1,0,0,0,0.333333,1,0.566667,0.777778,1,0.0555556,0,0,0.25,1,0.6,0.5,1,0.5,0,0,0.611111,1,0.333333,0.0555556,0.861111,1,0.75,0.805556,1,0.805556,0.0666667,0.0277778,0.833333,1,1,1,1,0.861111,0.166667,0.416667,1,0.777778,0.222222,0.0833333,0.666667,1,0.766667,0.638889,1,0.138889,0,0,0.0555556,0.972222,1,0.666667,1,0,0,0,0,0.833333,1,0.611111,1,0.222222,0,0,0,0.861111,1,0.333333,1,0.75,0.0277778,0,0.25,1,0.7,0.0277778,0.805556,1,0.888889,0.777778,1,1,0.7,0,0.0833333,0.666667,0.972222,1,0.861111,0.722222,0.166667,0,0,0,0,0.333333,0,0,0
124       0.583333,0.666667,0.666667,0.666667,0.583333,0.638889,0.25,0.1,0.972222,1,1,1,1,1,0.777778,0.1,1,0.805556,0,0,0.0555556,0.666667,1,0.5,1,0.694444,0,0,0,0.166667,1,0.766667,1,0.722222,0,0,0,0.166667,1,0.8,1,0.722222,0,0,0,0.166667,1,0.666667,1,0.75,0,0,0,0.166667,1,0.766667,1,0.777778,0,0,0,0.166667,1,0.766667,1,0.805556,0,0,0,0.166667,1,0.8,1,0.694444,0,0,0,0.166667,1,0.733333,1,0.805556,0,0,0,0.166667,1,0.8,1,0.75,0,0,0,0.166667,1,0.766667,1,0.666667,0,0,0,0.277778,1,0.6,1,0.888889,0.5,0.5,0.527778,0.916667,0.972222,0.2,1,1,1,1,1,0.888889,0.333333,0,0.166667,0.5,0.5,0.5,0.5,0.0833333,0,0
125       0,0,0.305556,0.5,0.5,0.25,0,0,0.0833333,0.777778,1,1,1,1,0.777778,0,0.583333,1,0.666667,0.194444,0.222222,0.833333,1,0.4,0.833333,0.888889,0.0277778,0,0,0.166667,1,0.766667,0.916667,0.833333,0,0,0,0,1,0.8,0.972222,0.833333,0,0,0,0.0277778,1,0.8,1,0.833333,0,0,0,0,1,0.8,1,0.833333,0,0,0,0.0277778,1,0.833333,1,0.833333,0,0,0,0.111111,1,0.8,1,0.833333,0,0,0,0.0833333,1,0.8,1,0.833333,0,0,0,0.138889,1,0.766667,1,0.833333,0,0,0,0.111111,1,0.733333,0.833333,0.944444,0.166667,0,0,0.25,1,0.566667,0.444444,1,0.888889,0.388889,0.416667,0.916667,0.972222,0.133333,0,0.5,0.972222,1,1,0.833333,0.25,0,0,0,0.166667,0.583333,0.5,0,0,0
126       0,0,0,0,0.277778,0.5,0,0,0,0,0,0.416667,1,1,0.222222,0,0,0,0.416667,1,0.916667,0.333333,0,0,0,0.166667,0.972222,0.972222,0.222222,0,0,0,0,0.666667,1,0.444444,0,0,0,0,0.0833333,0.972222,0.972222,0.166667,0.166667,0,0,0,0.416667,1,1,1,1,0.944444,0.527778,0,0.638889,1,0.972222,0.611111,0.583333,0.972222,1,0.3,0.833333,1,0.277778,0,0,0.333333,1,0.833333,0.916667,0.861111,0,0,0,0,1,1,0.944444,0.888889,0,0,0,0,1,1,0.861111,0.944444,0,0,0,0,1,1,0.777778,0.972222,0.277778,0,0,0.305556,1,0.733333,0.416667,1,1,0.5,0.472222,0.916667,1,0.266667,0,0.5,0.972222,1,1,0.944444,0.361111,0,0,0,0.25,0.916667,0.916667,0.166667,0,0
127       0.472222,0.833333,0.777778,0.666667,0.666667,0.722222,0.833333,0.566667,0.666667,1,1,1,1,1,1,0.733333,0.666667,1,0.25,0,0,0,0,0,0.666667,1,0.166667,0,0,0,0,0,0.666667,1,0.166667,0,0,0,0,0,0.666667,1,0.611111,0.666667,0.694444,0.638889,0.222222,0,0.666667,1,1,0.972222,0.972222,1,0.861111,0.1,0.333333,0.75,0.555556,0.0555556,0.0277778,0.611111,1,0.633333,0,0,0,0,0,0.0555556,1,0.966667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.388889,0.75,0,0,0,0.0277778,1,0.966667,0.777778,1,0.416667,0,0,0.361111,1,0.733333,0.305556,1,1,0.638889,0.611111,0.972222,0.916667,0.133333,0,0.388889,0.944444,1,1,0.75,0.166667,0,0,0,0,0.5,0.333333,0,0,0
128       0,0,0,0.0277778,0.638889,0.833333,0.0833333,0,0,0,0,0.694444,1,0.888889,0.138889,0,0,0,0.5,1,0.777778,0.0833333,0,0,0,0.138889,0.972222,0.861111,0.0833333,0,0,0,0,0.611111,1,0.277778,0,0,0,0,0.0277778,0.944444,0.972222,0.583333,0.666667,0.583333,0.111111,0,0.305556,1,1,1,1,1,0.833333,0.1,0.555556,1,0.805556,0.111111,0.0555556,0.722222,1,0.666667,0.666667,1,0.138889,0,0,0.0833333,1,1,0.666667,1,0,0,0,0,1,1,0.666667,1,0,0,0,0,1,1,0.666667,1,0.0833333,0,0,0.138889,1,0.833333,0.472222,1,0.722222,0.194444,0.0833333,0.75,1,0.433333,0.0555556,0.833333,1,1,1,1,0.694444,0,0,0.0555556,0.472222,0.666667,0.611111,0.333333,0,0,0,0,0,0,0,0,0,0
129       0.444444,0.833333,0.833333,0.75,0.888889,0.805556,0.194444,0,0.666667,1,1,1,1,1,0.527778,0,0.666667,1,0.194444,0.194444,0.277778,0.888889,1,0.366667,0.666667,0.944444,0,0,0,0.222222,1,0.7,0.666667,0.888889,0,0,0,0.0555556,1,0.7,0.694444,0.916667,0,0,0,0.611111,1,0.466667,0.666667,1,0.861111,0.833333,0.972222,1,0.833333,0.0333333,0.722222,1,1,1,1,1,0.916667,0.0333333,0.75,0.972222,0.166667,0.166667,0.194444,0.666667,1,0.566667,0.694444,0.833333,0,0,0,0.0555556,1,0.8,0.75,0.888889,0,0,0,0,1,0.8,0.777778,0.833333,0,0,0,0.0277778,1,0.8,0.805556,0.861111,0,0,0,0.333333,1,0.6,0.75,1,0.888889,0.833333,0.805556,1,0.972222,0.166667,0.75,1,1,1,1,0.916667,0.333333,0,0.5,0.916667,0.833333,1,1,0.5,0,0
130       0,0.0555556,0.5,0.75,0.666667,0.527778,0.0555556,0,0.0555556,0.833333,1,1,1,1,0.861111,0.166667,0.444444,1,0.833333,0.388889,0.416667,0.861111,1,0.733333,0.777778,1,0.166667,0,0,0.166667,1,1,0.472222,0.722222,0,0,0,0.0555556,1,0.966667,0,0,0,0,0,0.555556,1,0.6,0,0,0,0,0.25,1,0.944444,0.1,0,0,0,0.0555556,0.861111,1,0.333333,0,0,0,0,0.583333,1,0.638889,0,0,0,0,0.25,1,0.944444,0.0833333,0,0,0,0.0277778,0.861111,1,0.333333,0,0,0,0,0.555556,1,0.666667,0,0,0,0,0.222222,1,0.944444,0.0833333,0,0,0,0,0.75,1,0.944444,0.666667,0.694444,0.75,0.722222,0.666667,0.833333,1,1,1,1,1,1,0.933333,0.833333,1,1,1,1,1,1,0.6
131       0.472222,1,1,0.944444,0.666667,0.722222,0.777778,0.633333,0.583333,1,1,1,1,1,1,0.533333,0.583333,1,0.277778,0.0277778,0.0833333,0.0277778,0.0555556,0,0.666667,1,0.194444,0,0,0,0,0,0.611111,1,0.166667,0,0,0,0,0,0.583333,1,0.75,0.944444,1,0.805556,0.194444,0,0.583333,1,1,1,1,1,1,0.333333,0.333333,0.833333,0.611111,0.0555556,0.0833333,0.666667,1,0.733333,0,0,0,0,0,0.0277778,0.944444,1,0,0,0,0,0,0,0.833333,0.933333,0,0.0277778,0,0,0,0,0.833333,0.8,0.444444,1,0.138889,0,0,0.0277778,1,0.8,0.611111,1,0.611111,0,0.0555556,0.555556,1,0.6,0.222222,0.972222,1,0.861111,0.888889,1,0.916667,0.133333,0,0.333333,0.916667,1,1,0.75,0.166667,0,0,0,0,0.666667,0.416667,0,0,0
132       0,0.138889,0.722222,1,0.972222,0.777778,0.138889,0,0,0.861111,1,0.805556,0.722222,1,0.916667,0.133333,0.25,1,0.638889,0,0,0.444444,1,0.6,0.472222,1,0.222222,0,0,0.0277778,1,0.766667,0.472222,1,0.277778,0,0,0.111111,1,0.766667,0.222222,1,0.805556,0,0.0833333,0.722222,1,0.4,0,0.861111,1,0.972222,0.972222,1,0.833333,0,0.0277778,0.861111,1,0.861111,0.833333,0.972222,0.916667,0.0666667,0.361111,1,0.583333,0,0,0.416667,1,0.7,0.583333,1,0.111111,0,0,0.0277778,1,0.9,0.666667,1,0,0,0,0,0.888889,0.966667,0.638889,1,0.0833333,0,0,0.0555556,1,0.733333,0.388889,1,0.638889,0.0277778,0.0833333,0.75,1,0.3,0.0277778,0.638889,1,0.972222,1,1,0.583333,0,0,0,0.472222,0.638889,0.527778,0.277778,0,0,0,0,0,0,0,0,0,0
133       0.333333,0.5,0.5,0.5,0.5,0.5,0.472222,0.0333333,0.833333,1,1,1,1,1,1,0.4,0.833333,1,0.444444,0.444444,0.388889,0.416667,0.472222,0.133333,0.833333,1,0.0555556,0,0,0,0,0,0.833333,1,0,0,0,0,0,0,0.833333,1,0.361111,0.555556,0.694444,0.138889,0,0,0.833333,1,1,1,1,0.944444,0.361111,0,0.638889,1,0.944444,0.472222,0.416667,0.916667,1,0.3,0,0.138889,0.0555556,0,0,0.361111,1,0.666667,0,0,0,0,0,0.194444,1,0.733333,0,0,0,0,0,0.166667,1,0.8,0.527778,0.472222,0,0,0,0.194444,1,0.633333,0.916667,0.944444,0.111111,0,0,0.555556,1,0.366667,0.416667,1,0.861111,0.5,0.694444,1,0.777778,0.0333333,0,0.444444,0.944444,1,0.972222,0.694444,0.111111,0,0,0,0.166667,0.5,0.25,0,0,0
134       0.833333,1,0.916667,0.972222,1,0.583333,0,0,1,1,1,1,1,1,0.583333,0.0333333,1,0.861111,0.0277778,0.0833333,0.388889,1,1,0.4,1,0.805556,0,0,0,0.611111,1,0.666667,1,0.833333,0,0,0,0.361111,1,0.766667,1,0.888889,0,0,0.0555556,0.833333,1,0.366667,1,1,0.805556,0.75,0.944444,1,0.805556,0,0.972222,1,1,1,1,1,0.805556,0.0666667,0.972222,1,0.222222,0.166667,0.333333,0.916667,1,0.6,0.944444,0.944444,0,0,0,0.361111,1,0.866667,0.944444,1,0,0,0,0.25,1,0.9,0.944444,1,0,0,0,0.222222,1,0.966667,0.888889,1,0.0833333,0,0,0.361111,1,0.766667,0.888889,1,0.722222,0.638889,0.638889,0.972222,1,0.266667,0.833333,1,1,1,1,1,0.555556,0,0.333333,0.75,1,1,1,1,0.416667,0
135       0,0,0,0.138889,0.75,0.583333,0,0,0,0,0.166667,0.916667,1,0.722222,0,0,0,0.0555556,0.833333,1,0.722222,0.0277778,0,0,0,0.472222,1,0.805556,0.0277778,0,0,0,0.111111,0.944444,1,0.138889,0,0,0,0,0.444444,1,0.888889,0.277778,0.333333,0.111111,0,0,0.722222,1,1,1,1,0.972222,0.555556,0,0.944444,1,0.916667,0.611111,0.777778,0.972222,1,0.4,1,1,0.111111,0,0.0555556,0.805556,1,0.733333,1,0.861111,0,0,0.0277778,0.5,1,0.966667,1,0.972222,0,0,0,0.472222,1,0.9,1,1,0,0,0,0.472222,1,0.866667,1,1,0.444444,0,0,0.833333,1,0.466667,0.75,1,1,0.722222,0.833333,1,0.861111,0.0333333,0.138889,0.888889,1,1,1,0.805556,0.111111,0,0,0.0833333,0.916667,1,0.833333,0,0,0
136       0.0277778,0.583333,0.916667,0.694444,0.805556,0.722222,0.166667,0,0.666667,1,1,1,1,1,0.694444,0.0333333,1,0.972222,0.166667,0.0277778,0.5,1,1,0.433333,1,0.694444,0,0,0,0.861111,1,0.566667,0.277778,0.0277778,0,0,0,0.888889,1,0.366667,0,0,0,0,0.416667,1,0.916667,0.1,0,0,0,0.0555556,0.916667,1,0.361111,0,0,0,0,0.555556,1,0.722222,0,0,0,0,0.194444,0.944444,0.972222,0.138889,0,0,0,0,0.805556,1,0.5,0,0,0,0,0.388889,1,0.833333,0.0277778,0,0,0,0.111111,0.972222,1,0.194444,0,0,0,0,0.722222,1,0.694444,0,0,0,0,0,1,1,0.944444,0.777778,0.805556,0.75,0.805556,0.5,1,1,1,1,1,1,0.944444,0.333333,1,1,1,1,0.666667,1,0.25,0
137       0,0,0,0.277778,0.388889,0.166667,0,0,0,0.25,0.888889,1,1,1,0.722222,0.0333333,0.138889,0.944444,0.972222,0.611111,0.555556,0.916667,1,0.666667,0.583333,1,0.416667,0,0,0.166667,0.972222,1,0.638889,1,0.166667,0,0,0,0.833333,1,0.666667,1,0.166667,0,0,0,0.833333,1,0.666667,1,0.166667,0,0,0,0.833333,1,0.666667,1,0.166667,0,0,0,0.833333,1,0.722222,1,0.166667,0,0,0,0.833333,1,0.722222,1,0.166667,0,0,0,0.833333,1,0.722222,1,0.166667,0,0,0,0.944444,1,0.722222,1,0.166667,0,0,0,0.888889,1,0.666667,1,0.361111,0,0,0.194444,1,0.866667,0.25,1,0.972222,0.472222,0.416667,0.916667,1,0.366667,0,0.444444,0.972222,1,1,0.972222,0.444444,0,0,0,0.166667,0.916667,1,0.25,0,0
138       0,0,0.0277778,0.305556,0.333333,0.222222,0,0,0,0.277778,0.888889,1,1,1,0.777778,0.0333333,0.166667,0.972222,0.972222,0.555556,0.5,0.888889,1,0.7,0.527778,1,0.388889,0,0,0.111111,1,1,0.666667,1,0.166667,0,0,0,1,1,0.666667,1,0.166667,0,0,0,0.972222,1,0.666667,1,0.166667,0,0,0,0.972222,1,0.666667,1,0.166667,0,0,0,1,1,0.666667,1,0.166667,0,0,0,1,1,0.666667,1,0.166667,0,0,0,1,1,0.722222,1,0.166667,0,0,0,1,1,0.694444,1,0.166667,0,0,0.0555556,1,1,0.666667,1,0.361111,0,0,0.388889,1,0.766667,0.277778,1,0.972222,0.611111,0.638889,0.972222,0.972222,0.233333,0,0.444444,0.972222,1,1,0.916667,0.305556,0,0,0,0.166667,0.916667,0.833333,0.166667,0,0
139       0.25,0.666667,0.833333,0.555556,0.472222,0.25,0.0277778,0,0,0.472222,1,1,1,1,0.777778,0,0.333333,1,0.916667,0.472222,0.5,0.944444,1,0.433333,0.75,1,0.222222,0,0,0.388889,1,0.8,0.472222,0.777778,0,0,0,0.222222,1,0.8,0,0,0,0,0,0.611111,1,0.5,0,0,0,0,0.305556,1,0.861111,0.0333333,0,0,0,0.0277778,0.888889,1,0.222222,0,0,0,0,0.611111,1,0.5,0,0,0,0,0.277778,1,0.833333,0.0277778,0,0,0,0.0555556,0.888889,1,0.194444,0,0,0,0,0.583333,1,0.5,0,0,0,0,0.194444,1,0.833333,0.0277778,0,0,0,0,0.805556,1,0.833333,0.583333,0.666667,0.666667,0.722222,0.6,0.861111,1,1,1,1,1,1,0.733333,0.75,0.666667,0.583333,0.5,0.5,0.5,0.5,0.2
140       0,0,0,0.222222,0.25,0.0555556,0,0,0,0.222222,0.833333,1,1,0.972222,0.555556,0.0333333,0.166667,0.944444,1,0.861111,0.861111,1,1,0.7,0.694444,1,0.527778,0,0,0.527778,1,1,0.888889,1,0.194444,0,0,0.111111,1,1,1,1,0.166667,0,0,0,1,1,1,1,0.166667,0,0,0,1,1,1,1,0.166667,0,0,0,1,1,1,1,0.166667,0,0,0,1,1,1,1,0.166667,0,0,0.0277778,1,1,1,1,0.166667,0,0,0.0555556,1,1,1,1,0.166667,0,0,0.138889,1,1,0.944444,1,0.333333,0,0,0.194444,1,1,0.666667,1,0.916667,0.444444,0.361111,0.833333,1,0.6,0.0833333,0.888889,1,1,1,1,0.666667,0.0333333,0,0.166667,1,1,1,0.833333,0,0
141       0,0,0,0.222222,0.333333,0.138889,0,0,0,0.166667,0.833333,1,1,1,0.638889,0.0666667,0.138889,0.916667,1,0.861111,0.861111,1,1,0.766667,0.611111,1,0.611111,0,0,0.5,1,1,0.777778,0.972222,0.194444,0,0,0.0555556,1,1,0,0.111111,0,0,0,0.194444,1,1,0,0,0,0,0,0.777778,1,0.566667,0,0,0,0,0.472222,1,0.805556,0.0333333,0,0,0,0.194444,0.972222,0.972222,0.194444,0,0,0,0.0277778,0.833333,1,0.5,0.0277778,0,0,0,0.5,1,0.805556,0,0,0,0,0.194444,0.972222,0.944444,0.138889,0,0,0,0.0277778,0.805556,1,0.388889,0,0,0,0,0.472222,1,1,0.333333,0.333333,0.388889,0.388889,0.3,0.833333,1,1,1,1,1,1,1,0.833333,1,1,1,1,1,1,1
142       0.138889,1,1,0.722222,0.0555556,0.0277778,0,0,0,0.25,0.361111,0.305556,0.972222,0.972222,0.583333,0.0333333,0.0277778,0.583333,0.777778,0.888889,0.861111,1,1,0.633333,0.277778,1,0.805556,0,0,0.5,1,1,0.5,1,0.527778,0,0,0.166667,1,1,0.5,1,0.555556,0,0,0.194444,1,1,0.305556,1,0.916667,0.305556,0.25,0.75,1,0.633333,0,0.666667,1,1,1,1,1,0.133333,0.0277778,0.805556,1,0.805556,0.75,1,1,0.7,0.444444,1,0.722222,0,0,0.361111,1,1,0.666667,1,0.361111,0,0,0,0.972222,1,0.722222,1,0.305556,0,0,0,1,1,0.666667,1,0.527778,0,0,0.138889,1,1,0.472222,1,0.944444,0.472222,0.388889,0.833333,1,0.733333,0.0277778,0.805556,1,1,1,1,0.75,0.0333333,0,0.0833333,1,1,1,0.833333,0.0833333,0
143       0,0.0555556,0.527778,0.777778,0.75,0.361111,0.0277778,0,0.138889,0.916667,1,1,1,1,0.666667,0,0.777778,1,0.555556,0.361111,0.722222,1,1,0.3,1,0.861111,0,0,0,0.805556,1,0.566667,1,0.666667,0,0,0,0.277778,0.361111,0.0333333,1,0.694444,0,0,0,0,0,0,1,0.777778,0,0,0,0,0,0,1,0.694444,0,0,0,0,0,0,1,0.722222,0,0,0,0,0,0,1,0.666667,0,0,0,0,0,0,1,0.666667,0,0,0,0.222222,0.805556,0.433333,1,0.694444,0,0,0,0.777778,1,0.5,1,0.944444,0.0833333,0,0,0.833333,1,0.333333,1,1,0.888889,0.527778,0.694444,1,0.805556,0,0.333333,1,1,1,1,0.805556,0.111111,0,0.0833333,0.833333,1,1,0.916667,0.0833333,0,0
144       0,0.111111,0.583333,0.805556,0.75,0.361111,0,0,0.166667,0.916667,1,1,1,1,0.583333,0,0.861111,1,0.555556,0.5,0.805556,1,1,0.3,1,0.777778,0,0,0.0555556,0.888889,1,0.566667,0.75,0.333333,0,0,0,0.722222,1,0.5,0,0,0,0,0.0555556,0.944444,1,0.2,0,0,0,0,0.666667,1,0.555556,0,0,0,0,0.305556,1,0.888889,0.0277778,0,0,0,0.0833333,0.888889,1,0.222222,0,0,0,0,0.666667,1,0.555556,0,0,0,0,0.305556,1,0.888889,0.0555556,0,0,0,0.0555556,0.888889,1,0.222222,0,0,0,0,0.611111,1,0.583333,0,0,0,0,0,1,1,0.583333,0.416667,0.472222,0.5,0.5,0.166667,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.3
145       0,0.0277778,0.416667,0.666667,0.75,0.5,0.0555556,0,0.0277778,0.805556,1,1,1,1,0.861111,0.1,0.638889,1,0.722222,0.333333,0.5,0.972222,1,0.666667,0.972222,0.972222,0.0277778,0,0,0.5,1,1,1,0.833333,0,0,0,0.25,1,1,1,0.833333,0,0,0,0.194444,1,1,1,0.833333,0,0,0,0.25,1,1,1,0.833333,0,0,0,0.416667,1,0.933333,1,0.833333,0,0,0,0.472222,1,0.8,1,0.777778,0,0,0,0.333333,1,0.8,1,0.666667,0,0,0,0.416667,1,0.8,1,0.666667,0,0,0,0.472222,1,0.8,1,0.944444,0.0555556,0,0,0.666667,1,0.566667,0.972222,1,0.75,0.305556,0.444444,0.972222,0.944444,0.133333,0.361111,1,1,1,1,0.972222,0.277778,0,0,0.75,1,1,1,0.416667,0,0
146       0,0.111111,0.555556,0.777778,0.666667,0.277778,0,0,0.166667,0.916667,1,1,1,1,0.444444,0,0.694444,1,0.583333,0.0833333,0.25,0.972222,0.972222,0.133333,0.888889,1,0.166667,0,0,0.638889,1,0.466667,1,1,0.166667,0,0,0.5,1,0.466667,0.722222,1,0.444444,0,0,0.722222,1,0.366667,0.25,0.972222,0.972222,0.611111,0.694444,1,0.861111,0.0666667,0.0555556,0.916667,1,1,1,1,0.666667,0,0.583333,1,0.75,0.222222,0.25,0.888889,1,0.3,0.861111,1,0.222222,0,0,0.416667,1,0.733333,1,0.972222,0.0277778,0,0,0.166667,1,0.9,0.916667,1,0.166667,0,0,0.194444,1,0.866667,0.666667,1,0.611111,0,0,0.527778,1,0.7,0.194444,0.972222,1,0.777778,0.75,1,1,0.2,0,0.222222,0.75,1,1,0.805556,0.222222,0,0,0,0,0,0,0,0,0
147       0,0,0,0.0277778,0.361111,0.0833333,0,0,0,0,0.0277778,0.777778,1,0.722222,0,0,0,0.0277778,0.722222,1,0.916667,0.166667,0,0,0,0.416667,1,0.944444,0.138889,0,0,0,0.0277778,0.944444,1,0.444444,0,0,0,0,0.361111,1,0.972222,0.333333,0.222222,0,0,0,0.638889,1,1,1,1,0.888889,0.277778,0,0.888889,1,0.972222,0.583333,0.555556,1,0.972222,0.166667,0.972222,1,0.361111,0,0,0.555556,1,0.8,1,1,0.0555556,0,0,0.194444,1,1,1,1,0.0555556,0,0,0.166667,1,1,0.972222,1,0.0555556,0,0,0.166667,1,1,0.777778,1,0.472222,0,0,0.5,1,0.966667,0.277778,1,1,0.75,0.722222,1,1,0.5,0,0.277778,0.833333,1,1,0.916667,0.444444,0,0,0,0,0.416667,0.5,0,0,0
148       0.666667,0.722222,0.75,0.694444,0.555556,0.416667,0.166667,0,1,1,1,1,1,1,0.722222,0.0666667,1,0.694444,0,0,0.0555556,0.611111,1,0.566667,1,0.666667,0,0,0,0.138889,1,0.8,1,0.666667,0,0,0,0.0555556,1,0.8,1,0.666667,0,0,0,0.0833333,1,0.8,1,0.666667,0,0,0,0.0277778,1,0.8,1,0.666667,0,0,0,0.0555556,1,0.8,1,0.666667,0,0,0,0,1,0.8,1,0.666667,0,0,0,0,1,0.8,1,0.666667,0,0,0,0,1,0.8,1,0.694444,0,0,0,0.0277778,1,0.8,1,0.666667,0,0,0,0.222222,1,0.766667,1,0.916667,0.361111,0.333333,0.388889,0.833333,1,0.366667,0.944444,1,1,1,1,1,0.527778,0,0.666667,1,1,1,1,0.333333,0,0
149       0,0,0.166667,0.583333,0.666667,0.472222,0.0555556,0,0,0.416667,1,1,1,1,0.833333,0.1,0.25,1,0.777778,0.222222,0.0833333,0.5,1,0.733333,0.611111,1,0.194444,0,0,0,0.805556,1,0.666667,1,0,0,0,0,0.666667,1,0.666667,1,0,0,0,0,0.666667,1,0.666667,1,0,0,0,0,0.666667,1,0.638889,1,0,0,0,0,0.666667,1,0.666667,1,0,0,0,0,0.666667,1,0.666667,1,0,0,0,0,0.666667,1,0.666667,1,0,0,0,0,0.75,1,0.666667,1,0.0555556,0.0555556,0.694444,0.583333,0.833333,1,0.555556,1,0.333333,0,0.611111,1,1,0.933333,0.138889,0.972222,0.972222,0.555556,0.583333,1,1,0.4,0,0.25,0.888889,1,1,1,1,0.6,0,0,0,0.666667,0.75,0.166667,0.5,0.4
150       0,0,0,0,0.166667,0.5,0,0,0,0,0,0.25,0.972222,1,0.25,0,0,0,0.111111,0.916667,0.972222,0.305556,0,0,0,0,0.722222,1,0.361111,0,0,0,0,0.277778,1,0.611111,0,0,0,0,0,0.694444,1,0.416667,0.25,0.0833333,0,0,0.0277778,0.972222,1,1,1,0.972222,0.527778,0,0.25,1,0.972222,0.527778,0.416667,0.805556,1,0.5,0.388889,1,0.416667,0,0,0.0555556,0.944444,0.933333,0.5,1,0.166667,0,0,0,0.833333,1,0.5,1,0.166667,0,0,0,0.833333,0.9,0.472222,1,0.166667,0,0,0,0.861111,0.8,0.277778,1,0.527778,0,0,0.333333,1,0.666667,0.0277778,0.861111,1,0.833333,0.833333,1,0.777778,0.0333333,0,0.111111,0.694444,0.944444,0.916667,0.583333,0.0833333,0.0333333,0,0,0,0,0,0,0,0
151       0,0,0,0,0,0,0,0,0,0,0,0.361111,0.805556,0.166667,0,0,0,0,0.416667,1,0.972222,0.333333,0,0,0,0.166667,1,1,0.277778,0,0,0,0,0.777778,1,0.416667,0,0,0,0,0.25,1,0.722222,0,0,0,0,0,0.638889,1,0.833333,0.666667,0.583333,0.277778,0,0,0.916667,1,1,1,1,1,0.472222,0,1,0.972222,0.388889,0,0.194444,0.916667,0.972222,0.133333,1,0.75,0,0,0,0.416667,1,0.466667,1,0.666667,0,0,0,0.333333,1,0.6,1,0.666667,0,0,0,0.333333,1,0.5,0.972222,0.805556,0.0277778,0,0,0.416667,1,0.366667,0.583333,1,0.694444,0.194444,0.361111,0.916667,0.944444,0.0666667,0.0277778,0.666667,1,1,1,0.944444,0.277778,0,0,0,0.666667,1,1,0.166667,0,0
152       0.0555556,0.694444,0.805556,0.555556,0.0833333,0,0,0,0,0.444444,1,1,1,0.833333,0.0833333,0,0.444444,1,0.916667,0.666667,0.916667,1,0.694444,0,0.944444,0.916667,0.0833333,0,0.0833333,0.833333,1,0.133333,1,0.694444,0,0,0,0.555556,1,0.2,1,0.805556,0,0,0,0.638889,1,0.166667,0.805556,1,0.555556,0.166667,0.361111,0.972222,0.805556,0,0.166667,1,1,1,1,1,0.277778,0,0.555556,1,0.888889,0.666667,0.805556,1,0.75,0,1,0.861111,0.0277778,0,0.0277778,0.833333,1,0.333333,1,0.583333,0,0,0,0.5,1,0.4,1,0.5,0,0,0,0.5,1,0.4,1,0.722222,0,0,0,0.638889,1,0.166667,0.777778,1,0.611111,0.333333,0.611111,1,0.694444,0,0.166667,0.888889,1,1,1,0.805556,0.0833333,0,0,0.0833333,0.833333,1,0.75,0,0,0
